WNT2B-LRP5,NRXN2-NLGN1
WNT3-FZD8,NRXN2-NLGN2
WNT9B-LRP5,EFNA1-EPHA8
WNT10B-LRP6,ICOSLG-CD28
WNT2-FZD10,HLA-DOA-CD4
WNT9A-FZD5,DLL4-NOTCH3
WNT9B-FZD6,SEMA6D-TREM2
IL15-IL15RA,SEMA6B-PLXNA2
IL13-IL4R,NFASC-CNTNAP1
IL13-IL13RA2,CNTN1-NRCAM
IL11-IL11RA,EFNA3-EPHA2
SPP1-CD44,JAM3-JAM2
ADIPOQ-ADIPOR1,MAG-MAG
ANGPT2-ITGA5,NECTIN1-CD96
PTN-PTPRZ1,THY1-ITGAM
PENK-OPRM1,EFNA2-EPHA1
SEMA3D-PLXNA3,EFNB3-EPHB3
SEMA3C-PLXNA3,EFNB3-EPHB4
BMP8B-BMPR2,JAM3-F11R
GAS6-AXL,L1CAM-L1CAM
GDNF-RET,NCAM1-NCAM1
ARTN-GFRA1,SEMA4A-PLXNA2
ARTN-RET,SEMA6A-PLXNA4
WNT10A-LRP5,CADM1-CADM1
WNT3-LRP5,CD46-JAG1
WNT7A-LRP5,CDH1-CDH1
WNT9A-LRP5,CLDN11-CLDN11
GDF5-BMPR2,EFNA5-EPHA2
WNT10A-FZD3,EFNA5-EPHA4
WNT10B-FZD1,EFNB3-EPHB1
WNT10B-LRP6,JAM3-ITGAM
WNT16-FZD4,JAM3-JAM3
WNT2-LRP6,NECTIN3-NECTIN1
WNT7A-FZD2,DLL3-NOTCH4
WNT5A-MCAM,JAG1-NOTCH4
BTC-ERBB4,SEMA4D-PLXNB2
IL4-IL2RG,CDH1-KLRG1
IL7-IL7R,CNTN2-CNTN2
IL7-IL2RG,CNTN2-CNTN2
IFNE-IFNAR1,EFNA1-EPHA3
ANGPTL4-SDC4,EFNA3-EPHA8
MDK-ITGA4,EFNB1-EPHB4
CGA-FSHR,DLL3-NOTCH2
SEMA3G-NRP2,NRXN3-NLGN2
SEMA3G-PLXNA3,CDH1-ITGB1
SEMA3G-PLXNA4,CDH1-ITGB7
SEMA3C-NRP1,CNTN2-L1CAM
SEMA3C-PLXND1,EPGN-EGFR
SEMA3E-PLXND1,EFNA1-EPHA4
ADM-CALCRL,EFNA1-EPHA5
AGT-MAS1,EFNA4-EPHA8
ANXA1-FPR1,EFNA5-EPHA8
CALCA-CALCRL,EFNB1-EPHB1
ENHO-GPR19,EFNB1-EPHB2
GAS6-MERTK,EFNB3-EPHA4
BMP2-ACVR2B,ICAM2-ITGAM
WNT3-LRP5,F11R-JAM2
WNT9A-FZD9,F11R-JAM3
WNT9B-LRP5,ULBP1-KLRK1
WNT16-LRP6,HLA-DMA-CD4
WNT16-LRP6,HLA-DOB-CD4
WNT2-LRP6,MPZ-MPZL1
GDF6-ACVR2A,NECTIN3-PVR
WNT4-LRP6,NECTIN3-TIGIT
WNT4-LRP6,NECTIN1-NECTIN3
WNT6-FZD3,ULBP1-KLRK1
WNT6-FZD5,DLL1-NOTCH4
WNT7A-FZD5,SEMA4A-PLXNB1
BMP5-BMPR2,SEMA6B-PLXNA4
WNT5A-FZD7,
WNT5A-FZD9,
WNT5B-FZD1,
NRG3-ERBB4,
CCL27-CCR2,
CCL7-CCR3,
CCL24-CCR3,
CCL27-CCR3,
CCL5-CCR5,
BMP6-BMPR1A,
CCL28-CCR10,
CCL1-ACKR4,
CCL8-ACKR4,
CCL14-ACKR2,
CNTF-LIFR,
IL19-IL20RB,
TNFSF12-TNFRSF12A,
BMP7-ACVR2B,
HCRT-HCRTR1,
GZMA-F2R,
SEMA3B-PLXNA2,
SEMA3B-NRP1,
SEMA3B-PLXNA4,
SEMA3C-PLXNA1,
SEMA3C-PLXNA2,
SEMA3C-PLXNA3,
SEMA3C-NRP1,
SEMA3D-NRP1,
SEMA3D-NRP1,
SEMA3D-NRP1,
SEMA3D-NRP1,
BMP8B-ACVR2A,
MSTN-ACVR2A,
GDF3-ACVR1B,
TGFB3-TGFBR1,
GDF3-ACVR1C,
GDF3-ACVR2A,
INHBB-ACVR1C,
INHBB-ACVR2B,
WNT1-FZD2,
WNT1-LRP5,
WNT1-FZD3,
WNT10A-FZD4,
WNT16-LRP5,
WNT16-FZD7,
WNT16-FZD8,
WNT9A-FZD5,
WNT9B-LRP5,
TGFB1-ACVR1B,
WNT9B-LRP5,
WNT1-FZD4,
WNT1-FZD6,
WNT1-LRP6,
GDF6-ACVR2A,
WNT10B-FZD2,
WNT10B-FZD4,
GDF6-BMPR1A,
WNT2-FZD2,
TGFB1-TGFBR2,
WNT2B-LRP6,
WNT3-FZD2,
WNT4-FZD9,
WNT6-FZD10,
WNT6-FZD6,
WNT6-LRP6,
WNT7A-LRP6,
WNT9A-FZD3,
WNT9A-FZD6,
WNT9A-FZD8,
WNT9A-FZD9,
WNT9B-FZD1,
WNT9B-FZD10,
WNT9B-FZD4,
WNT9B-LRP6,
WNT9B-LRP6,
WNT9B-FZD7,
WNT9B-LRP6,
WNT9B-FZD8,
WNT5A-FZD3,
WNT5B-FZD10,
WNT5B-FZD9,
WNT11-FZD7,
HBEGF-ERBB4,
EREG-EGFR,
BMP5-BMPR1B,
FGF18-FGFR4,
FGF9-FGFR2,
FGF9-FGFR4,
PDGFD-PDGFRB,
VEGFC-KDR,
BMP6-ACVR2B,
DHH-PTCH1,
IHH-PTCH1,
CCL17-CCR4,
CCL20-CCR6,
CCL1-CCR8,
BMP6-BMPR1B,
CXCL2-CXCR1,
CXCL2-CXCR2,
CXCL5-CXCR2,
CXCL10-CXCR3,
LIF-LIFR,
IL36G-IL1RAP,
IL37-IL18R1,
IL18-IL18R1,
IL33-IL1RL1,
IL17A-IL17RA,
IL17F-IL17RA,
IL17F-IL17RC,
IL17B-IL17RB,
IL17C-IL17RA,
IL25-IL17RA,
IL34-CSF1R,
CSF1-CSF1R,
TNF-TNFRSF1B,
TNFSF15-TNFRSF25,
NGF-NGFR,
TNFSF9-TNFRSF9,
TNFSF4-TNFRSF4,
TNFSF18-TNFRSF18,
TNFSF13-TNFRSF13B,
TNFSF13B-TNFRSF13B,
BMP7-BMPR1B,
CD40LG-ITGB3,
CD40LG-ITGB1,
CD40LG-ITGAM,
CD40LG-ITGB2,
SPP1-ITGAV,
SPP1-ITGAV,
BMP7-BMPR2,
SPP1-ITGAV,
BMP8A-ACVR1,
BMP8A-ACVR2A,
ANGPTL1-ITGB1,
ANGPTL2-ITGB1,
ANGPTL2-LILRB3,
ANGPTL7-LILRB3,
ANGPTL4-ITGB1,
ANGPTL4-ITGAV,
ANGPTL4-CDH5,
ANGPTL4-SDC1,
ANGPTL4-SDC2,
ANGPTL4-SDC3,
BMP8A-BMPR2,
CORT-SSTR3,
F2-PARD3,
BMP8B-ACVR2A,
NTF3-NTRK1,
NTF3-NTRK2,
NTF4-NTRK2,
SEMA3A-PLXNA1,
SEMA3A-NRP1,
SEMA3A-PLXNA2,
SEMA3A-NRP1,
SEMA3A-NRP1,
SEMA3A-PLXNA4,
SEMA3B-NRP1,
SEMA3B-NRP1,
BMP8B-BMPR2,
SEMA3B-PLXNA3,
SEMA3C-NRP1,
SEMA3D-PLXNA2,
SEMA3B-NRP2,
SEMA3B-NRP2,
BMP8B-BMPR1A,
SEMA3G-NRP2,
GDF9-ACVR1B,
MSTN-ACVR2A,
NODAL-ACVR1C,
TGFB2-TGFBR2,
GDF3-ACVR2B,
INHBA-ACVR2A,
BMP2-BMPR1A,
INHBC-ACVR1C,
BMP2-BMPR1B,
WNT10B-LRP5,
WNT10B-FZD6,
WNT16-LRP5,
WNT16-LRP5,
WNT16-FZD3,
WNT16-FZD4,
WNT16-LRP5,
BMP2-BMPR1B,
WNT2-FZD10,
WNT2-LRP5,
WNT2-FZD3,
WNT2-FZD7,
BMP4-BMPR1B,
WNT6-LRP5,
WNT6-LRP5,
BMP4-ACVR2B,
WNT6-LRP5,
WNT6-FZD5,
BMP4-BMPR1B,
WNT6-FZD8,
WNT6-LRP5,
WNT6-LRP5,
WNT9A-LRP5,
WNT9B-FZD9,
WNT1-FZD2,
WNT1-LRP6,
WNT10A-FZD2,
WNT10B-FZD10,
WNT16-FZD2,
WNT16-LRP6,
GDF6-BMPR1B,
WNT2-FZD1,
WNT2B-LRP6,
GDF6-BMPR1B,
GDF6-BMPR2,
WNT3-LRP6,
WNT3-FZD9,
